 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,H19,C20,O21,O22,H23
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5509947358257714,0.026468335300561807,0.06565246308658826,0.026683080424403927,0.023793600588328384,0.001185492405800459,0.023130095628460356,0.0006456845431892511,0.007862240709531232,0.003916556950514918,0.0012193968603878003,0.00025122792769061153
N12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9356892052088057,2.5873728407742993,0.0962683105455937,0.18018352936525456,0.028691921111932084,0.00706193183953896,0.00835412609762054,0.18957207468731857,0.05828869005446642,0.02650652962622803,0.0051156230069935305
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09518394142433217,0.016320247735877036,0.010262044665619863,0.0005403832634001127,0.00018962759912888316,0.0007034187506544942,0.035037334973550216,0.08276246257750985,0.005723938102770831,0.0001816989191103513
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8229106662351247,2.837725786842216,0.09372650541538419,0.09581520706526025,0.08490974618530411,2.6505176411301443,0.27648141876779414,0.2185099220768586,0.053252487460557996
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08011694979417827,0.004263044144803718,0.006398717948712163,0.03250987872838329,0.12013106577599153,0.031546951575197046,0.01066686105004333,0.0005393081952120848
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7387968636490374,1.9752310742461376,1.878029933866195,0.1926735847457728,0.04427384186099888,0.03093908754993499,0.001999973586738868
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02672743580641268,0.02497502809375529,0.007454401754545481,0.0011385522253291036,0.011266771070338022,0.00026853358729006516
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025380135137738513,0.028988328561452947,0.005336711326779597,0.004588269379805832,0.00024448551045441747
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009596733616342279,0.0014299880396995146,0.0007362599771195688,0.00015458136783985665
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.310071576739652,3.2746408784015224,0.1678512368557621
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5076853086687735,0.06649247622351862
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6741277832042432
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
