,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25H,26S,27C,28H,29H,30H,31C,32O,33O,34H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.783013709651185,1.7741754339040066,2.921099995714578,3.735894493604245,2.8435179316359886,2.527384694853598,3.6128894357376575,3.7711030794641927,5.08702684192055,5.306320412235024,5.733088445637592,5.83208612761078,5.950046812644066,5.555518456011221,7.607464581610561,7.824372136994757,8.914665072168187,7.576494789327582,7.462313027734714,3.4867016949905603,3.0722053909759004,4.54425446313037,4.791905739807304
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7686511768374527,3.5846880575695814,4.648146314385391,3.5520382023691366,2.8922385188030093,4.696147853185391,5.112919979904861,5.94763934237944,5.8906803567402175,6.758515378839304,6.59971621073598,6.921477566130066,6.093646279601411,8.263340721586973,8.109837382486312,9.170240152494621,7.689970161403302,7.710927765227851,4.634190572535362,3.933351551295069,5.859693222599446,6.04280052760611
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.158761333735656,4.896411336454724,4.420355215711658,4.046487733025093,5.3488205722829765,5.43208756237067,6.800266824026107,6.9832175893067125,7.490405087202606,7.415725483443658,7.494854863319178,7.001927944376787,9.199158730228655,9.337299867883827,10.423890551140861,8.962827752678699,9.012171769193468,5.241969015047305,4.702978747700156,6.256311965249062,6.413940682606048
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2297150115069768,1.3667697630528235,2.0605299783872995,2.463864926478561,2.5319486600605767,3.4530878476877,3.8745081864805413,4.365632994004003,3.4851406663340203,3.562456260939399,2.9423577483443495,5.253831321703565,5.611332550111207,6.684929349750972,5.22626785082685,5.5913392070242836,3.576435740362676,3.895269086499287,4.654796359728658,5.377937711140602
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2784144863664246,3.1651242564029793,2.8084670865951935,2.4133994063439372,3.6384880102374138,4.328281711509767,4.406409236805291,3.330865118512795,3.038035965443723,2.9149754448819833,5.074418766306936,5.7875803115775915,6.8128126553614985,5.458588393829329,5.946823893788682,4.097988994019461,4.684540043728784,4.919117584518654,5.7474167810169
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0141272376994437,1.4553574173455728,2.0727192093872007,2.515583433722694,2.7572128527730326,3.431260876328564,3.0799934238378253,3.439578820780258,2.780785707866117,4.806013766661395,5.0173096330149525,6.110520316640077,4.811977064263038,4.7640475395818465,2.40677766186488,2.6985777359812024,3.604500347101521,4.2779115130751535
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0991808035707797,2.8881047350749287,3.095979034398517,3.0166035379134595,3.974840545550611,3.8678151216045604,4.366779348026501,3.5353813497786986,5.466053624750787,5.39821760581501,6.476181894428549,5.167827817709316,4.981537662277401,2.454552500425203,2.2636625066616545,3.7888050646531473,4.267105676423216
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0956847226344593,1.5518722662943367,2.1667021365247447,2.164904994594906,2.5672482517766633,2.81193920290451,2.826517102622635,4.234040760241754,4.790075476043437,5.838116889666875,4.899854899098936,4.485414992835326,1.523464547680638,2.428834363478418,2.381857216833262,3.2166495022551547
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1673175614517546,3.0641134194745856,2.5078504249884515,2.773768462934679,2.571275651928727,3.121883005083926,4.487248074671482,5.384443235463595,6.40103275153583,5.5003014888355555,5.242517833326031,2.1467012852732212,3.1599381492935343,2.5956390054222944,3.502195415993853
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097667031683572,1.0949806361008072,1.5321801561757693,2.171615856926847,2.182095637345185,2.8269520758310605,3.417110940953979,4.408254535616988,3.753009830291158,3.13645482633624,2.518384435319241,3.4256114069569046,2.9647388405601807,3.8104193724244455
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.765594381952034,2.1717063849477825,3.0802313586183043,2.539515673178442,3.0437166792164683,3.0149934130152443,4.000844235574295,3.3576880283211357,2.4383974306407312,2.750651000892513,3.339398988144186,3.356990903998101,4.019758232404517
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.159535292041491,2.5115556781907022,3.0777773791325753,2.988296744575446,3.8457062113645315,4.687664155250972,4.420895159134313,3.528860270582972,2.6958663176423348,3.7433794952729293,2.606927711929051,3.439628808804298
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094713690801317,1.0942572862362487,1.8361121413190307,2.8248353618731668,3.782992630940092,2.993211450360553,3.0676689602397524,3.89598850152853,4.786663751797472,4.3448101021381795,5.253210845662065
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7570336301168497,2.3730123791145483,3.7540072155946356,4.609030127647508,3.9126826171661953,4.1026085983784615,4.1906909743906855,5.207048014107255,4.4715076709778065,5.436634188463962
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4222554146857065,2.8885016209259597,3.8987274641041845,2.640504663689683,3.2161215035945614,4.2456771742974055,4.947621088372927,4.963707751377717,5.840822394931775
26S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8285018265379611,2.3844671012213183,2.4452221543803807,2.4598536318992057,5.3396106238947185,6.210827757252498,5.567068286666888,6.405613114416406
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0935935132684407,1.0950126926636972,1.09418001004305,5.731932116313665,6.308587144958067,6.2097905077644295,6.917759401828127
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.778072920033872,1.7751883982916137,6.728949888805147,7.308698982872645,7.112290833016948,7.791235295346084
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7901708238121468,5.964169283533642,6.4422198653247325,6.637110308420227,7.366056484941853
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.178315880431117,5.639314770302154,5.663162573239297,6.265858243181224
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.213831727518544,1.3470837071918516,1.8777173308140374
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2545764171362976,2.2957258193254444
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976817021478523
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
