,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34H,35H,36C,37H,38H,39C,40H,41H,42N,43H,44H,45H,46C,47O,48O,49H
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.230429623321139,1.3713176383595065,2.053610507242983,2.4567496299345413,2.6622067427334284,3.1850678544950095,4.1304351778240935,2.8969261377310795,3.8552813455735624,3.362860968397364,4.553760575873803,4.941108956976258,5.622241108675998,4.694373093329594,5.936014357892865,5.6820391350737225,6.4867497497600155,7.135622298714167,7.886615264268026,7.612130534900661,6.986667724523126,3.6825277467089275,4.0094860785692745,4.788633740941108,5.530333211217677
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.279991210499317,3.1576679293335443,2.7999077401467667,2.714408965218161,3.1101313511142115,3.9324617414145333,2.4424550457867786,4.017726054839845,3.735123920986303,4.881050729545511,4.819010183975726,5.39203243275172,4.3616426717882195,5.981250369321197,5.840762899054298,6.659264391863616,6.996820787559655,7.83193048230138,7.395646240502451,6.719977361908426,4.256895319897234,4.851703879992635,5.129853137621174,5.987757670404165
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01600023773376,1.4563943318764008,2.098730083059798,2.503771149144284,3.4228691907058977,2.71964280252086,3.0556999136590015,2.656671658811422,3.50108258537732,4.415471485615856,5.038093318602374,4.48036154263705,5.364246208884394,5.208294586337058,5.713742780516354,6.719457559961454,7.444854365362414,7.139262302682685,6.768208476240225,2.4043655887698545,2.6853085184854377,3.610658530248231,4.281779087695315
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0898482999749626,2.731799651263094,3.30193471473708,4.147974502108676,3.6836966810730796,3.6310107723637537,3.134274406780655,3.8343460121093846,5.085810971098501,5.728957686956622,5.27735703711789,5.8623813666888145,5.632254899986525,6.078045242901485,7.299478224534155,7.943063125221733,7.754941260842398,7.433398751579798,2.4004184840833847,2.195314141470703,3.737283167460106,4.2056440598381615
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0995355930539608,1.545530504695556,2.158065194320291,2.124940858502047,2.5808226110113175,2.7499691087341427,2.8900261432841132,3.9321862190983854,4.2610925041603975,4.152928052072366,5.10271505174131,5.249416236323403,5.351049364697777,6.411770462962974,7.227199383787742,6.62937775639753,6.551186863441366,1.5239159672757876,2.429854428755717,2.379360098019662,3.2148401618986586
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.141957484448811,2.423883486526399,2.4020435730423944,3.4942303253158835,3.7512988880209157,3.8518091233320146,4.675318326897341,4.859669351891709,4.762611487692689,5.979983907910001,6.189131235432853,6.277922289647586,7.186267565501822,8.06226925322901,7.3242996471392905,7.251460178088814,2.120439388094359,3.0743420444401686,2.6406489275927054,3.495945503553365
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0958576398806412,1.0942940586716468,1.5343732576574463,2.1582211090921137,2.175473674339747,2.538034359326301,2.779252555353137,2.748058234093789,3.8902444098223357,4.227043685039617,4.258742951303087,5.051995586275437,5.940685473172165,5.1909668679321195,5.164652693516981,2.556968332822085,3.5536732460568694,2.8917168344949804,3.8061520378050564
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7722128462122446,2.1733066607007623,3.068408624938204,2.489217045170092,2.834625879079562,2.6312710273731166,3.1674725407603437,4.238291964160108,4.804844161241751,4.477007958023355,5.254926427253571,6.1805269172807895,5.177661877797056,5.441833923542743,2.787795234413375,3.9305941741498795,2.5813112452117695,3.5052691354456966
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.169043270627334,2.544685932543062,3.078863684476694,2.7287848500735774,3.0474640743052923,2.4817431278574396,4.149488787928468,4.400818693550297,4.752201201699568,5.11855335115684,6.054261702498928,5.3027297422518584,5.0107984368467475,3.459662391808731,4.418576979543298,3.8632239394006276,4.809728221752058
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0972454601832489,1.0989461781832774,1.5394584178245971,2.172327922585879,2.164851522408168,2.52784181123505,2.8131105759187998,2.8330192158132927,3.8879848133809713,4.661919732833348,4.179763864222029,4.165222179618792,3.120765680997098,3.7829048920722235,3.537525688260351,4.2480856697141745
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.766392399835212,2.16992300487358,3.0774165980202928,2.516667900785278,2.750375695836012,2.5872086625686785,3.1535886991161433,4.170143001351622,4.8215356640435205,4.690267410510126,4.3542581054470375,3.369406854825083,3.7575668024394466,4.128401698777255,4.780904948682165
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1675514744383357,2.5125540913379973,3.070999628851533,2.761480083165265,3.1468377851292995,2.620781372535036,4.18778080948443,4.843169423916421,4.384922422796542,4.693613451397018,2.854042966909306,3.3810043425959724,3.0954142029067584,3.614012658941841
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0995907208685303,1.09935653365846,1.5230847197265331,2.1883469538331672,2.1911865318672743,2.5144561574688122,3.42153944419901,2.741343276596745,2.737379394714138,4.57430642351606,5.299294548111414,4.7525301042786285,5.468293245157502
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7706977362138907,2.1588559255859554,3.086881828611178,2.524006791992637,2.7495210188173376,3.69901265293327,2.5480565945960847,3.0688708173777375,4.78284173214777,5.641396459729913,4.648687230820541,5.3503264677560445
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.157957109831673,2.5279378557501078,3.087679006898466,2.736171369105029,3.686946374392661,3.054174511628477,2.529218968518385,5.098235792862367,5.8693403884033835,5.382781285144295,6.192024576617505
39C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093002919578917,1.0930439157897767,1.534575999220465,2.146911775482023,2.130494387541487,2.1293996249468883,5.524947562544458,6.013332001495631,5.76451078798822,6.3251957826213525
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7795285034609827,2.111889792584772,2.424212428468009,2.980192464434644,2.4359540779100213,5.731643415094679,6.062769940512709,6.201934302972657,6.7523526774860345
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1123638667055658,2.425463331181745,2.4374620242768197,2.9798846280174445,5.470025758673365,5.862077125581472,5.589837269494864,6.0035106350604615
42N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0280046856761784,1.0280943724563285,1.028203028957804,6.932556162765786,7.50297113911386,7.050371611083213,7.636467168266626
43H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.660631710180406,1.6607244206118466,7.654439074934712,8.115501468807619,7.805103225157802,8.319354781021833
44H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65385735341685,7.088857328581429,7.758351011448187,7.011941504594439,7.5848752002077395
