 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,H34,H35,C36,H37,H38,C39,H40,H41,N42,H43,H44,H45,C46,O47,O48,H49
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03072007335469129,0.09941293054345945,0.004886219449769635,0.027648364464247788,0.002982671999868014,6.316881103041183e-05,0.0026915928419579682,4.530058527407732e-05,0.000978751005163092,0.00011479289277005478,0.0009326711459864967,0.00010772549516602226,0.00010038283471702769,3.384515914384156e-05,2.514045258639186e-05,7.741688986051543e-05,1.909791187193477e-06,1.4018869820553448e-07,1.0163619571512683e-06,1.9735794443143106e-07,2.9972527104682456e-07,2.2837745128345688e-07,3.800444012824755e-07,4.214865345630869e-09,2.1795228510868014e-08,4.463666325449367e-09,4.762308325467757e-10,5.12439846112045e-09,1.090108003864998e-09,6.569655930377394e-11,5.961762195028086e-10,4.1802117323186394e-12,4.520221974502192e-10,7.77089503856132e-12,2.007746713994507e-06,6.3844222685238705e-06,6.071454817790922e-07,7.10462972897119e-08
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3896784437179295,0.030905516312774828,3.292197864647828,3.5468366091379067,0.1311404232990243,0.2870648641847854,0.02669239322639938,0.3389994885046544,0.027649687309369453,0.23278469199838828,0.003908423290376772,0.006375981495051253,0.001128648946365024,0.00928689523921275,0.0032769750548281573,0.004967478228196737,0.002647076789829339,0.0006845450265363096,5.232506469710074e-05,2.8184477037562772e-05,0.0002589086215033648,6.186429885457478e-05,9.510208364371664e-06,5.610498230615435e-05,2.2668161314687296e-06,1.4884059960085239e-06,1.1952100971379664e-05,4.323599237521236e-07,1.7619481396113912e-07,5.401227829673894e-06,1.0303159289071218e-06,4.1800177386086546e-07,1.7131916096868594e-07,0.001053878596628477,0.0006397378743398935,0.00013257288814876034,4.3550105961465135e-06
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8320925806148765,3.2516840065958026,0.046153275699083854,0.0041734046242889455,0.24892364027643954,0.007295129257802735,0.048811215405436204,0.00044482254529465415,0.06711375656178611,0.003008854614169554,0.0016927830360149998,0.0003097285443557085,0.001441286937028649,0.0011472930761656785,0.00025660354059595103,0.00026321060742229285,4.757127510778003e-05,8.38303240380256e-06,5.129188787367234e-06,1.8162288813988736e-05,2.133440532858799e-05,1.5611929833347915e-06,3.1535632641216393e-06,5.345658986577462e-07,1.0499454550227938e-07,9.485115959051438e-07,3.30398872705473e-08,5.076149867111468e-08,2.2925529032102876e-07,5.452317874965473e-08,2.9714095295396703e-08,1.3935572917844752e-08,0.00028360478328906535,0.00023210815539759233,4.99345008106028e-05,1.5745266965794258e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11813811979684019,0.0035225197131076857,0.0014000182348257173,0.007094745718954298,0.0033093746144796654,0.0005410390881886995,3.923368957581275e-05,0.0005755650461810591,7.048313495627845e-05,1.2018770443988913e-05,6.1487537404980586e-06,6.114017425895568e-06,9.750771808203496e-06,9.9482554716257e-07,4.19186026334728e-07,1.7038117550161047e-07,5.12851339173892e-08,7.462886286724313e-08,2.0380811704967527e-08,1.031234275750137e-08,5.109564549243828e-09,1.6140362379957196e-09,5.294031879543581e-10,2.0945845058406576e-10,7.55497886473222e-10,8.463119094415106e-11,1.496536228273726e-11,1.4269563308744182e-10,1.961253381921324e-11,7.2444272802840715e-12,3.794742298168785e-12,2.0791564433464416e-06,5.404521904561754e-06,3.151663643397029e-07,2.345123317759601e-08
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2987238854567905,0.027259875582129167,3.6011794318263206,0.13443475993816656,0.2281975694087578,0.003990133476190927,0.3539484184830636,0.028258966961459686,0.000661845609649353,0.0001968135131325266,0.0013026082013484486,0.00040387876746661444,0.0006402419465801612,0.0004095439936488976,0.00011611962681133681,3.3742018907823024e-06,2.7373618967097e-06,3.63504676952342e-05,1.3538642697374925e-05,6.102956077613797e-06,9.774259484840453e-06,5.263497389051963e-07,3.5038506829287996e-07,1.7100139864945074e-06,7.073179131289464e-08,2.3402430771035654e-08,6.608954582210114e-07,1.2372115265613104e-07,7.071421714854864e-08,2.2736371119158605e-08,0.0016691305743226637,0.001742326248530171,0.00020828897898364507,1.1255820253297522e-05
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9504500366172293,0.30503689912867393,0.003596594721537727,3.9636957986052104,0.12879039499336797,0.32150142036145923,0.02590347605784382,0.006846973038402704,0.0057814796171677535,0.002583924640971555,0.0004441399817670666,0.010505651426441387,0.025373248840974028,0.0010532858281921964,2.127095663462253e-05,3.224972344106902e-05,0.00047254439271945947,4.07186444095764e-05,1.0421093265655657e-05,9.621404382023635e-05,1.314238540217616e-06,1.992780853998788e-06,3.027736665985048e-05,4.059653856414158e-07,4.00529646338299e-07,1.1297270081464528e-05,2.2228394499501647e-06,4.1404325579197376e-07,3.015916889559378e-07,0.0008096278985076089,0.0002014886544001726,0.0001428110514088421,1.1238489573628385e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003502836480308469,0.000763086683197578,0.12774688603290563,0.008470606640120115,0.02727853029306959,0.001118438897028451,0.005144828069656215,0.009932872765057499,0.0012253129166182042,1.5569503394985418e-05,0.0007725951218549021,0.0017770869316471316,0.0001259366984793786,1.165115883994261e-06,5.049416046398747e-06,3.942108066690153e-05,7.765956405059171e-06,4.520801586416212e-07,8.873136294051953e-06,3.369091032823235e-07,1.238151028370993e-07,3.3313056231332183e-06,5.5520145592069525e-08,3.802290371446304e-08,1.0386875373136206e-06,1.5917071172211195e-07,1.578056063600286e-08,1.7597728385609912e-08,5.3818629034196874e-05,4.591306013734808e-05,1.16289334453068e-05,3.541267534767911e-07
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.960902662088122,0.3214273047108336,0.02611300819146911,3.9425246050912333,0.13063351755283303,0.0004912022815565797,0.00043065396088068364,0.0002178606240370723,9.54349859147996e-05,0.0016183508960025683,0.0021237472381940847,0.0001762214658590222,2.754492243295381e-06,1.3493534651187744e-05,6.422795869237552e-05,3.1921514799249096e-06,3.232056298596575e-06,1.759381727201026e-05,4.692603543521301e-07,5.887559124673203e-07,7.783519913318049e-06,8.58472322118331e-08,1.3301902901385887e-07,3.014065607098715e-06,7.626880468292185e-07,8.04468982540385e-08,7.59457290389065e-08,0.0011322833326310733,0.0006226842134242072,8.850446384625621e-05,8.123138468019153e-05
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0273842360324541,0.001046682158256873,0.12761479858378477,0.00844263500096143,5.749163819013248e-06,3.26925230109687e-06,4.810904110641445e-06,3.2435697527866125e-07,2.094838661870213e-06,1.9751229438647044e-06,5.769847990499954e-07,4.747624493539604e-08,1.2587958453380566e-08,7.037531468689906e-08,6.560779985953502e-08,9.990916982616227e-09,1.600368815246611e-08,4.240378714825965e-09,7.452400918595004e-10,5.387068346962565e-09,5.443745454414284e-10,1.331541543692083e-10,9.102930631499362e-10,5.306732830945293e-11,1.353595013853237e-10,3.104583257140803e-11,5.6899418270361934e-06,7.367117693002356e-06,6.399802533474386e-07,5.429624894137675e-07
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0139797151822467,3.6137810279727547,0.12230017360828316,0.0008045925181315305,0.0013368366364022027,0.0008377402539949119,0.00026969585193248324,0.005979637715053693,0.012796591223299125,0.0006314761296344756,5.035732816738303e-06,2.7006946684782207e-05,0.0002260396623530586,1.4521340462536614e-05,3.3364686884418404e-06,5.7764930694828576e-05,1.2610622350806011e-06,9.804799616652815e-07,2.2381512300495565e-05,2.1945317085769744e-07,3.51888064908934e-07,8.012675120072643e-06,1.6478046179768668e-06,1.4443975404621057e-07,1.9208764223677122e-07,0.000510528171760033,0.00015762225851352618,6.518193705304376e-05,8.06619569504452e-06
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12430439784737635,0.008102939917053131,1.905115719580408e-05,1.4253799249352994e-05,1.2301347429355403e-05,1.0970899702034131e-06,3.232430831556776e-05,8.13589628994027e-05,4.620378699859984e-06,1.3244970542558576e-07,3.6960782257011715e-07,1.7058458773311358e-06,1.246398506626889e-07,1.0954960272258063e-08,3.8289391779411375e-07,6.872985292005751e-09,2.3188932996021094e-09,1.2125179948974107e-07,1.0195881916530425e-09,1.73878755838075e-09,4.4924911679622426e-08,5.950445913782687e-09,4.356361937851716e-10,6.051994461131471e-10,4.11228305385869e-06,1.4908373608957248e-06,5.050633238301572e-07,8.90587659174713e-08
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9386221780878976,0.0006710836410135368,0.00022147057474021514,0.0007996971484226234,0.00011617889460757702,0.0008816232430608473,0.0006360308746501397,9.550649089455632e-05,5.914771115111961e-07,3.23304832638982e-06,3.288330581185939e-05,1.368582474037261e-05,6.755318977536007e-07,8.360625230505181e-06,5.732134373825915e-07,2.1802419070127144e-07,2.9923382174751323e-06,9.291535574273979e-08,3.904065992710315e-08,9.96705933509201e-07,1.886897179614877e-07,5.5629871820173094e-08,2.4016800104220692e-08,0.0005680106359519377,9.903158289353842e-05,0.00011044291127611239,7.032152293096061e-05
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7535300164194254e-05,2.120580323006216e-05,1.4583937231194e-06,1.1804300417139757e-06,8.161645164150855e-07,6.32657571864037e-06,2.0524849642100662e-07,9.976984127746391e-09,9.840209380662657e-08,3.552033567277846e-08,2.8323179357414574e-09,6.881904157651775e-09,7.542744207000851e-09,9.072786966157764e-11,2.427593681630924e-10,2.1007007244833176e-09,2.908562279912985e-11,2.9892532893427415e-11,5.622186050047162e-10,1.9301005238503421e-10,1.1076028982870412e-11,1.6255663481956617e-11,1.0205803673279945e-06,4.0051569449861546e-07,6.971104749009527e-07,4.4408891830549635e-07
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.852943447061684,3.3563666729377317,0.13648893037369914,0.25965717704096536,0.026208991081925204,0.027428324574409024,0.0023384030684814316,0.009223613477161718,0.00432148710765165,0.0035103791535533446,0.00021937211631195552,0.000612640669877651,0.00015185482863877553,2.5400835603317518e-05,0.00014108478051011453,1.5557459643433802e-05,2.7381650187230377e-06,2.4315507167971262e-05,1.9449667433280027e-06,4.324892055151963e-06,5.501318677270106e-07,0.02751086275840034,0.006711907697784181,0.005682782199009917,0.0011286128945784402
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5217731860684524,0.026959770932402094,0.06139646885564615,0.0193859589517712,0.035802695465049855,0.0011488355766429148,0.04739112004380319,0.0035624669315937607,0.0011515654432989741,0.000470976689283642,0.0004869306072537716,9.265072694464305e-05,4.335346493700154e-05,0.00012023695945061197,8.358375825134878e-06,1.2803527347449162e-05,1.387848156024496e-05,2.1612133602744166e-06,4.0204750061390016e-06,9.97836536842378e-07,0.006371363789202944,0.0036470325578743523,0.0012259924428662944,0.00024329951517321202
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8755441320457302,2.5076608001084932,0.09624063096809166,0.1716363910850175,0.0252356561146303,0.006243384134366314,0.027395141023411076,0.024963237492457324,0.00047521768605296444,0.003777999792854328,0.0006461880583363833,8.878545663204562e-05,0.0006680767114505826,7.794149788686866e-05,1.578692714221397e-05,0.0001527444905660147,1.5526421315747996e-05,2.9182988798615028e-05,2.6446532193080685e-06,0.1812014022540983,0.058084842454991376,0.026023125882969136,0.0048405353144314045
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09911541249748312,0.007787453141249179,0.017164978316556834,0.0009376370392701894,0.0003603390191211364,0.000633674742993473,0.00025820803860687747,9.715474220461928e-06,0.00015222469649611714,3.336994388725145e-05,4.90675738107349e-06,2.0594883659352803e-05,7.954059055848006e-07,7.26620243529652e-07,3.934440936492756e-06,1.0559359930883971e-06,2.463016179898858e-07,1.5054242852308164e-07,0.03632244264798801,0.08311108157245717,0.006015783416974951,0.00018907098603682115
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.047000179645789,2.653836329048877,0.09220404193293263,0.09871041881110543,0.15562251467214286,0.010422073562134537,0.005661595059975211,0.03322331564040154,0.0008319320546368303,0.0008884818529499849,0.006804101657019362,7.076627969593297e-05,8.28110593736886e-05,0.001938072537229149,0.0003272308880113428,4.6384677403255026e-05,4.2727043812251786e-05,2.523957595892276,0.28163807411578273,0.2185784771059922,0.0527174792897821
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09433121899499242,0.004628777983228138,0.006772928047051874,0.02450039168381124,0.0018384596253269159,0.0004712011900882551,0.0029210972376955135,6.13926571986223e-05,2.1335876417394317e-05,0.001306480319999359,2.1248465513101777e-05,2.6778298235496933e-05,0.0004020950321704797,6.807392898044995e-05,6.203302150176171e-06,1.088775638846684e-05,0.12273147413166408,0.03411555865495142,0.011278664831083196,0.00026701859452593624
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6622814929833467,1.7177850106817352,2.866390228973854,0.08314363617452103,0.08005174680740268,0.1817013594013661,0.009274512353673048,0.011389509184986601,0.036921195703152415,0.0009349707604948687,0.0008508698443784324,0.007299783675150093,0.0009383725227406492,0.00015732334603957288,0.0001425180915723967,0.18412095503392636,0.04247291383413296,0.03251046865438115,0.002561126689448745
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02649413268939571,0.08552605337351726,0.033275786881268976,0.006035456693867625,0.007068714693309053,0.0034191506359542156,0.00017473124711897547,0.0009035572793881785,0.0003337972441441739,2.7027351052977266e-05,9.791618848231654e-05,1.0316367611951094e-05,1.709037440877914e-05,1.4632244979218001e-05,0.007508669868294904,0.0011519112072991833,0.015204992330474232,0.0004167071498926145
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08441152692409737,0.003642886319463967,0.032858664913630875,0.012752179993312907,0.00022464273476829888,0.0055266004449630035,0.001298165424950537,3.8139507686052454e-05,0.00037723411537227136,0.00013099841129893264,3.511815623413739e-05,1.9233995148359995e-05,2.563826769708122e-05,0.025820885917861247,0.004296189334424438,0.0037035082497972605,0.00026270494540914235
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6488232959228695,1.7740306995592539,2.7544836639204227,0.08095908589350809,0.07922819178394647,0.200067963243976,0.008798290821770638,0.007730106014663618,0.04091752011525243,0.003849098172685528,0.0016838602039832562,0.001664442037834002,0.020559083639531905,0.0038055358011512275,0.004997627322745196,0.00032588147870715733
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02366573594492638,0.08655876052013123,0.03333603582148914,0.0045675028431806375,0.01045101273598914,0.004064762911963671,0.00014933500632041685,0.0008933116103712058,5.8644536113483525e-05,0.0007116099558250877,2.7887939555215624e-05,0.000859703712749571,0.00011730521894304236,0.0002945957059662385,9.006869601480005e-06
