 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,H23,C24,O25,O26,H27
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002889480353042151,8.970682269615615e-05,0.0001300922291477269,1.9958558240107394e-05,1.9731887879181897e-05,1.2123101968519734e-05,2.3776909847672556e-06,2.457003520639489e-07,2.0296253344653792e-08,2.102563183337125e-06,2.7200393666992895e-05,0.00011223293000228729,8.74460591193671e-06,3.1067463757139535e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.745805802297209,3.425302511501201,0.13873239204016297,0.2698674949395794,0.018788715257868294,0.032676119287902844,0.004273170567825391,0.0009608843247590482,0.0009281557243985272,0.04651522731616897,0.01674696029276118,0.008224518870827285,0.0012476866257987718
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5178550474158155,0.02473865261571284,0.07187260161930824,0.032300548674661256,0.008272194360091821,0.0010143402016059566,0.0006370843912321122,0.0009716437981568404,0.020107419744034086,0.004834892092257022,0.0030472957661688282,0.0008158978383457915
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8002321059909767,2.546135233521112,0.09958163906982431,0.18067319899645906,0.02727447825821594,0.009193950085593317,0.007406551599395961,0.19776038434395185,0.03256291839203046,0.029589148655747174,0.005285249057578878
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09938918734576796,0.026508165918172732,0.012360458294159882,0.00045768540534596447,0.0003080877032584084,0.004793595169635179,0.004668568289071917,0.0037409414114232264,0.0008684686072646386,0.00021037093592357614
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.006378520946473,2.7199213490694825,0.09412857825088383,0.09375184385113133,0.08462934185754523,2.5983031007871182,0.26610134415977527,0.21482703616786114,0.05437939446464479
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083393157250651,0.004338070265250016,0.0055954912889326636,0.03322635921344341,0.10720074835399362,0.029654133645654168,0.011028525989675741,0.0004482361777542465
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6882232150002965,1.9429821113801375,2.1007655257541074,0.19052286387868977,0.040464141330967124,0.028772477685122907,0.002001645744632019
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026405458750516253,0.024594449312298705,0.00816800344836599,0.0013814036717951783,0.011302567367449057,0.0002459209992662359
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02416249883715449,0.03080975494142435,0.005476971913219053,0.004280782393552451,0.0003818104207451434
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009531353040420854,0.001715732436395223,0.0007700688108444043,0.00018494113216327435
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.913128643852138,3.270751168107244,0.16426732420319645
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5124650033614113,0.06807280269334237
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6638195955125075
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
