,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23H,24C,25O,26O,27H
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0937262400084016,1.0941630373387439,1.094387490406309,4.833432058246096,5.014147127736315,5.288047066150908,5.312722723177964,5.753862642821074,6.060732581947619,6.729744736837058,5.0304941066911875,4.009537933165863,5.997348886305356,5.796027668451026
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7770669423547858,1.7829109795466953,5.922926500476035,6.05492016273276,6.360412674519557,6.360969680957723,6.7604820506608245,7.058814268170729,7.722321006726552,5.918029108323978,4.8558101986301825,6.7762741623996625,6.4528832768943785
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7893577078901286,4.512588671265975,4.47974767163356,5.216253470762208,5.412071578187023,5.711396797602064,5.835319504423756,6.757917667886486,5.172200301101817,4.328683188623288,6.13433975929119,6.0414121413821675
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.59111193669401,4.774209958049756,4.814310439251906,4.864476136529846,5.055583861584145,5.408947000481106,5.993742968206312,4.139348934444322,3.080897291815285,5.016926770173561,4.746814641212156
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2261620718763062,1.375351860823647,2.053419098362763,2.4466242381356356,2.5353015575273967,3.2995765412300515,3.3095961978576183,3.458767915130104,4.477915860157656,5.112825919538529
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.278013420803378,3.154291657165503,2.7761761995829914,2.367629374163755,3.7114673639641738,3.5581187211127046,3.847364427867526,4.506355257146059,5.1428404072075855
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0112666616890527,1.4421965101118484,2.058018872704156,2.1029949250993933,2.475307489346488,2.82240802802664,3.645666144751313,4.346922355596498
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.111418559081749,2.963775787182158,2.48352558872723,2.835374264298375,2.92382577261236,4.058949102230076,4.660340475303364
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09401630516349,1.0961388066786626,1.5250948768977817,2.44176164695798,2.3662585689630045,3.20649412601886
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7686256173844443,2.1384137942795154,3.110608834617362,2.632924631519266,3.512609137072798
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.145077062230588,3.144988618293882,2.58948435734683,3.4878637420703034
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2108239889960966,1.350190651214555,1.8798901199137508
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2557990236765932,2.298362262789243
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976501917593773
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
