 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,H23,C24,O25,O26,H27
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0904391311766315,0.024327656178907087,0.0013884035068971734,0.00020417899840508014,0.0005441610211831538,0.0007008244380326545,0.0002511709557592168,0.00024162697460772264,0.0004567696917203712,4.515395257143062e-05,9.065707680333546e-06,3.554178688913723e-06,6.169985402748601e-05,0.0002657221069207738,9.804034952876073e-06,4.427548432550665e-06
S12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.819883107478496,0.08932021652531341,0.09667970127486258,0.09608631479505203,0.0039288941443027525,0.0009187582358220411,0.0020725759825006088,0.0019153369100090023,0.0002696247334068591,3.181561163412283e-05,2.9037886966065685e-05,0.0005951256691824613,0.0019235288886695762,0.00014185668102500645,4.2809244090613596e-05
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8517927317594194,2.032257838279462,1.9962639571274179,0.0003522099492463959,9.785952371821338e-05,0.0001198959158962426,7.429147081494669e-05,7.451993460641515e-05,2.1908266369163876e-05,4.679989035971666e-06,0.000625108897015586,0.002423554780335707,0.00015377954924843118,1.0645396685160513e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024869732222613683,0.026012400022325632,4.439185629778741e-05,7.675879310053979e-06,8.518541462776419e-06,1.0558202642618753e-05,2.6819102387776184e-06,6.417366147370984e-07,7.054222976865532e-07,3.369462110414112e-05,8.667678392537681e-05,6.744912885103815e-06,2.7375901301418537e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02472967741765375,7.149018714747157e-05,2.010864842483251e-05,2.7804037814327387e-05,5.6078178858331995e-06,3.852506569979042e-06,2.4019204647451886e-07,5.718993765224667e-07,1.0685712205527054e-05,6.6643355894902e-05,1.0856096972489127e-06,5.791087709372533e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.874786497894746e-05,1.643822771291159e-05,9.958725097147791e-05,2.9112327660785198e-05,0.0002081285150163925,4.049824415841563e-05,2.3073511044024997e-06,0.0012733234323754061,0.007296031873362807,0.0003014124699433074,3.334783810582387e-05
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6869580424585555,3.3272359104332256,0.1308532286081875,0.2682293267013721,0.024423866077950107,0.027408862160818392,0.034717082892750134,0.006412678290926316,0.006706127303969425,0.001238187435440019
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5283756316327647,0.027782279691447198,0.07600622729160374,0.050688113978188065,0.003972318827154542,0.012437432112941849,0.002367176123038578,0.002205363539956616,0.0005441158478326491
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9243949940598242,2.6402563977523124,0.09930866918737669,0.09923011350614941,0.19448324866970915,0.031250421579538945,0.031002154688955973,0.005363247114760994
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09840617140261954,0.031569969460061964,0.004027632521834912,0.0061396938422096925,0.006157183523715637,0.0009260352722336718,0.00010585056812684179
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0201321571273114,2.0100629194083055,2.4919076808933363,0.27529074907516227,0.22574152811762171,0.05521447239569832
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03044402875430774,0.11574500184852776,0.032834755986231645,0.0109715302090434,0.0003565493818362686
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11557143592713515,0.03314753725170938,0.011176438360822383,0.0003337565981467172
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.877109131929192,3.142289419737407,0.16124303088418823
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5079512747466971,0.06422752381814556
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.509090276515725
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
