 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,C20,H21,H22,H23,C24,H25,H26,H27,C28,O29,O30,H31
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003995133621782526,0.0013143755759711662,0.007782544765039159,0.009873957691995061,0.0010066109750298952,8.863579671902766e-05,0.0002791287864104819,2.3351714462549467e-05,0.0009084838177853549,0.0018888086172358376,1.5360636213435086e-05,6.931034802537539e-06,0.0025292069689571497,5.0958705594572606e-05,0.004368168727613586,1.1400446975562417e-05,0.00022732397702213136,2.75581346183551e-05,6.954485311616576e-05,3.486529433383012e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.595921947301352,3.6951696257164044,0.13670225146645176,0.30431979591929403,0.02667180181030182,0.030507737344601826,0.003905039658525622,0.0030443403282828796,0.000918058218150497,0.0003719494343248364,8.05066998261772e-05,0.003157403134412498,0.0005443089175301008,0.0007634168833139388,8.760165023535826e-05,0.04796598513001074,0.008930692294265921,0.006710168326535551,0.0007259706659533682
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5500933611097018,0.018775467547223035,0.08019058870236452,0.02637191203647371,0.008633671863592998,0.0007694117225190977,0.002253676343639044,0.0006870927094867474,0.0004944462514104853,2.4193398721727988e-05,0.0027091639627045624,0.0007693530096641865,0.0005091802009853374,0.00024949032332144405,0.0471031922307778,0.008855965745610199,0.004425611466397597,0.00048292833302499005
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5495880654348286,2.871221315194914,0.10195292512823984,0.16777932308350463,0.022940161130656778,0.022626003981392223,0.007307462230402573,0.002610264115114669,0.0006981698356365307,0.021016078073726255,0.00258296326905727,0.005318997844894868,0.0005768732255972964,0.20336536876479605,0.026715230998234238,0.02859837899787651,0.004942172296145575
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09147838421355459,0.009032227636326162,0.011799535025964425,0.0014461845889306435,0.0053837027222161105,0.007902402406746,0.00030923357199053036,7.755813829302127e-05,0.007508169638629991,0.0003940209146564566,0.011000929703510742,6.104468739431823e-05,0.008641780429830104,0.00041134320288005455,0.0020174771545626857,0.0008125003153653942
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8302239154516813,2.6226740821988592,0.09466263593383739,0.16755986143447638,0.0063297063378662255,0.029324572589358056,0.011284067015720822,0.15044111936738236,0.030199633374652368,0.005817768683519464,0.008025990614699552,2.675987659593024,0.2559172078158109,0.21292759335611638,0.05482376127217303
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08618744583404803,0.004057360545678845,0.01242214268225239,0.00015364266421413753,0.0007236324233361735,0.006003585780669951,0.02762833506147222,0.0008776386133169112,0.00028253700376512647,0.0007468770272445191,0.1146918716147951,0.02585482148349827,0.016169181948418765,0.0011534175563963078
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0039217131699685,2.8226772550202437,0.08581453092497815,0.08901731745073604,0.08180538296190609,2.7051755492565848,0.08975273052492505,0.08471118917091192,0.08584696274223158,0.1940429846074963,0.04050441171993292,0.026090701760343782,0.0020632754254501506
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08271256851303443,0.0320232702199168,0.005420734508981173,0.003849805061991729,0.08148073173334269,0.0057260127428513385,0.0315993609636398,0.0035227807687971957,0.011561192811609056,0.0017333310225134957,0.00975137306786067,0.00017024554806965853
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0599962105573377,2.0229794812859403,1.9455603251131364,0.17009354113192343,0.008288334002991782,0.01011442280497643,0.031234788292356264,0.034132706985092354,0.0077569697553825645,0.004257903735184886,0.0006651697751044461
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02483936113783436,0.025253594224986298,0.00933697414607082,0.00012647800552056943,0.0033588110107194424,0.0006153243034330291,0.0010103071389322427,6.844238917957934e-05,0.0002529472534900101,7.31824143906934e-05
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022806202859349423,0.008471195619329075,0.0037569027906323438,0.00015492458029275902,0.0006362042136529578,0.00455827560965516,0.0015147147092016144,0.0004577050819203343,9.346869472981467e-05
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031191382980694904,0.0006039925531504675,0.000750415574535479,0.002896652289828161,0.0009926770851762523,0.0005143502036388803,0.00011877061763754249,6.648297795841529e-06
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0330033584420866,2.0534707880690894,2.06343759591022,0.02225906186518993,0.012895906830941044,0.002810682442148757,0.00019867144125751413
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025021370179968194,0.023364822701412935,0.0020120706253317078,0.0005312835319353226,0.0004655383462597307,2.073601642038625e-05
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02701433668988673,0.0006064898614888126,0.00020787390739795963,0.00016454615069150247,1.8774408294675027e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013789707371907323,0.01569975311907945,0.0010084514137230771,5.12806492962703e-05
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.173298308095049,3.3586674410645303,0.171930380615675
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5110279863787066,0.08318565995308025
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7587119155216402
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
