,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15H,16C,17H,18C,19H,20C,21H,22H,23H,24C,25H,26H,27H,28C,29O,30O,31H
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0676933610164483,1.438746767320056,2.0893162457469865,2.471939334220651,3.3768282663018523,3.0064193821410656,2.748539305229103,4.026334632468201,3.326236795105914,3.006438868705822,4.032046638801139,2.766652727396992,3.304323246456415,2.4593056851330313,2.8935223257763707,3.600167121418239,4.2871961342070914
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.207161356886993,2.9294695674166777,2.6368872316573877,3.700304618804973,2.869572060153329,2.285362009573972,3.7693233449436643,3.422702062392946,2.7939074498341916,3.7241077126126227,2.201042730562133,3.287424750247283,3.291169606715782,3.5742343032069397,4.482956709441851,5.157405946443834
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099245126930664,1.5572898610310788,2.1370311530307435,2.5407017016935254,2.8436640555192465,3.4968179338599645,2.7520070927976525,2.580918426663881,3.522841046799269,2.8952896227789964,2.8074982875848096,1.5299648651583215,2.4644995044850484,2.3871117098179897,3.207973613548112
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1669492112456212,2.4414292083904066,2.722499816760591,3.15054972695992,3.706692213596791,2.4748272827897204,3.5077239665992788,4.321648918137738,3.8683570649388606,3.8097699042553197,2.107965504263123,3.219702916445355,2.411620446885568,3.3461899692655086
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1001848912951318,1.5387612889238624,2.181800137285937,2.176658381224289,2.191405918368125,1.539497607511813,2.1729399625106796,2.182773591580745,2.196258387501487,2.530007049882592,3.3319546438838836,3.136214002074029,3.9258132151604124
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.155239283052405,3.073079611580371,2.4807298437461256,2.5150983572506886,2.1605910739533183,2.4698973791176906,3.0767968982382294,2.541045573242848,2.6576054444562134,3.5691319343260672,2.7761208674891513,3.537195244974385
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0951857792141881,1.0979532528176865,1.0979237088160594,2.5301984652874183,2.7866287976674817,2.7577781827575936,3.4963305094335126,3.8841538914089875,4.741658672478852,4.406172597258881,5.290526099605043
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7737477169053626,1.7814558202233497,2.7720473187493795,3.1385008671596455,2.5472590687662175,3.7766175177064,4.280271627170575,4.981860243683715,5.044791566081229,5.905436102609399
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7755582361180189,2.778422663925793,2.5836493637072917,3.0992440360439897,3.796688328533837,4.685564500941319,5.49661308926917,5.103255133185001,5.941275013958118
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.495218936887257,3.793385389377724,3.7746651945286125,4.354559677802203,4.12722109482104,5.148426484506373,4.413260930312811,5.365964217078363
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0981563805295136,1.0958254876048554,1.0956196222845807,3.088215241930005,3.3683896590672395,3.9560595246679813,4.497252039835563
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7745630767055687,1.776059993591727,4.025918274081219,4.333526272804023,4.695144755120236,5.214099165528016
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7764750246989562,3.5868716164940224,3.708492060725581,4.670245551595064,5.218557593165268
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7322103791278827,2.6992859544093393,3.6135146662916653,3.9373665696777294
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2100454206010165,1.367563023062687,1.8698849723221078
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24826181249687,2.244959152603937
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9756155145672406
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
