 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,C25,H26,H27,H28,C29,H30,H31,H32,C33,O34,O35,H36
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036501525890719755,0.0002135375432777975,7.076897000346527e-05,0.0006414561742792424,0.00036148053559337257,7.497906966724699e-05,3.421733175734687e-05,4.034656989837515e-06,1.2485693621222538e-06,3.3192165638240567e-07,6.110912574852634e-07,1.2592485565399159e-07,2.3268510718210678e-07,2.6969907640506108e-08,9.139953016656932e-09,1.3361394879396471e-08,2.644702414844602e-07,1.3407169374701766e-08,3.920083369024496e-08,3.8291117610000924e-08,1.960989350680009e-05,8.406174736197425e-05,6.0087426199118e-06,1.748625626518674e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002858501300102567,0.0001024916759956307,0.00014193750661128934,2.136584838408062e-05,2.0665074699333097e-05,1.234794111248938e-05,2.2644651599401655e-06,2.0014162418480197e-06,2.780212471353849e-07,1.1688017409472451e-07,1.891141288012932e-08,6.537856500621331e-08,1.1475804084781771e-08,2.170190471773026e-09,4.7361679023083525e-09,1.1556755175057276e-07,1.991131148848524e-08,2.6197799929406074e-08,1.397904547673079e-08,2.5250419547817593e-05,0.00011114093657160762,8.258284534767846e-06,3.046312651022731e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93281325971733,3.5652032734271124,0.14079598885744526,0.27435144134882494,0.01908834144134075,0.03219824705974686,0.0009312545227657676,0.004068775546958392,0.00365883403397238,0.0017706635152963113,0.0005937082252831793,5.990875058969891e-05,1.4511930660709993e-05,0.00021033591198982293,0.0004794881637094628,4.0827362451922866e-05,0.00025928132339236853,3.679934891809289e-05,0.0458351967097918,0.015446959776658165,0.008318293394478177,0.0012774869157727853
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5258454942716121,0.02447519368334894,0.07142827591731757,0.03335162312531359,0.007393294958479027,0.0010538587217177042,0.0007272999230011346,0.0024385790578352745,0.0015926509967929547,0.00041194849101111597,2.2198693571007233e-05,3.5321934792054144e-05,7.830988952672868e-05,0.00036717524442041183,1.5220862643161581e-05,0.00018196765006550653,2.7829893536779338e-05,0.018587795026911158,0.004138701126358918,0.0028405940904333155,0.0007495161533955796
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7185867100601877,2.7518890680334853,0.09604708194719824,0.1751245216020953,0.007573940727384265,0.025471845931154147,0.024009824391349438,0.01866025100326618,0.0035399493561018847,0.00021853157353879382,9.464018103710892e-05,0.0007165992181834557,0.002762730079960432,0.00029369092808639863,0.0005836550965545584,0.00021935792887139982,0.19250752791269365,0.032212029118085794,0.028103385902493075,0.005020081710029545
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09930732322685232,0.026964959916348397,0.011068116502150005,0.004671707884837506,0.0002767999315060887,0.0015075956523884493,0.001474099867695866,0.0002746039249447163,1.2086038323921855e-05,1.8664130493784015e-05,7.952300378111232e-05,0.0003373728407759513,0.00016472460718586213,5.310422128146364e-05,2.4272090301424853e-05,0.0048861156678242645,0.004359563263136135,0.000889106101749304,0.00018792300215642044
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7796603015052654,2.8127826754286187,0.08670363765596023,0.09373780567481571,0.15333544506540916,0.007958911232914367,0.03175732848369585,0.004572499072542424,0.0010418678621857413,0.0007073476001608903,0.022173031320648906,0.0006842017017363311,0.009117554905214265,0.002387195957956445,2.46286092076099,0.2679099472026084,0.21051773978972269,0.054121472062938936
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08058115818732159,0.033103539030918006,0.0040273376012300854,0.007789022995754791,0.00011294372014880594,0.00127496881274769,6.523741000963312e-05,0.00020271907597124716,3.5019070254715956e-05,0.012682253264865717,3.9874986279997415e-05,0.012812915597107066,0.0009328245654649514,0.11590649275057596,0.029159808815430455,0.011202953207742783,0.00043975378504490514
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8459957782583467,1.9198066985887303,2.5308258605266998,0.08217041403728897,0.1845642731614277,0.030684133067241603,0.010506834401218024,0.009446841072628942,0.1631297427769009,0.009948392979442167,0.005715921575129235,0.030973663123411654,0.19426725679283985,0.0397346614237014,0.03026274324868071,0.0022336091843937478
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023318472452207306,0.0850023213418507,0.003824325245727289,0.01328765206890048,0.0008838540296258746,0.0060698841154736005,0.0002233529716038074,0.029856458629246463,0.0004887599742726678,0.0004894968911066666,0.0015680056043911872,0.009422923261665161,0.0015866499905542453,0.0008550802736772001,0.00020266039752514509
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08042852665916467,0.03488807761128809,0.008603461149624403,0.00047057413596829356,0.0001876293786529093,0.004144514459727855,0.009685278442666645,0.004831128457235101,0.00012636304373359053,0.00048757090619999666,0.01038037271144221,0.0017227369917269808,0.015016952491883728,0.00031874737351356153
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8872447084639368,2.8789752776476774,0.08594831702630645,0.08161982114371025,0.08177820208824493,2.7192780917230057,0.08177038492931832,0.08358093286166435,0.08822364932302729,0.03145060366269939,0.0077136248068911395,0.004965738079452511,0.00039394288057825744
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08182286065685318,0.00465485412782396,0.004405359624601868,0.03490652716968334,0.08297182659123936,0.034701240898771246,0.005002365767144745,0.0038979954367519554,0.0012619521738119754,0.00021978182198179042,0.00046594555865486775,0.0001699171756786022
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7743698360743214,1.9414790653065248,1.929543314471561,0.16815229372578228,0.008274942220128922,0.03080238516178513,0.011268968544038804,0.005886969324572056,0.0019115000908132979,0.0006154372888659276,7.384907544560892e-05
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02408327821404388,0.022906052747862837,0.009685991778945802,0.000150949998700467,0.0006380226890483343,0.004699148066254155,0.0014148799997970585,0.00045758034946952186,0.0001651903713766334,1.651320500473119e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022845344609339735,0.031532632159731566,0.00044758394051491734,0.002844038399621107,0.0008421273686152198,9.096857922208379e-05,4.7876935177715296e-05,1.5191890015753273e-05,5.497915422925104e-07
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009208891550295473,0.004070515550411047,0.000524517542036973,0.0001766778785441403,8.780814344877541e-05,2.5862810592469643e-05,5.501361129733873e-05,3.7503826089135828e-06
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9605440484596448,2.1234357756768887,1.7882307337922734,0.0034611014530324113,0.0014275269934335838,0.0004407582201913923,4.292488197787936e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023483576455222588,0.023021904234796553,7.840857274654667e-05,2.235732473865326e-05,4.4764404989461326e-05,7.54599074337392e-07
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024397074629301407,0.0008931293495333392,0.0007412375863452558,0.00014860443677888746,9.18787045534053e-06
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004979590106002352,0.0002639985064181172,8.689343955436968e-05,6.688502620644243e-07
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.260187418723021,3.381704258993877,0.16093242780376515
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50573827239461,0.06769929752339965
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5621422769573305
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
