,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11N,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24O,25N,26H,27H,28C,29O,30O,31H
11N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0102168041752604,1.0118307987479667,4.4452102987248665,5.372884005214815,4.373930536876353,3.690713275629958,5.16549316824094,6.035554250612822,5.907321232746942,6.678814241124656,6.528470497922401,5.25052813515039,4.938437658550305,5.534859623804057,5.882277128353115,5.291576039932429,4.729066363991488,3.769552043280012,5.909370013650981,5.8852066883655
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.727085455579364,4.733299511814613,5.487479980232598,4.859743702436883,4.336081984468546,5.561361197369877,6.341281899546962,6.465436106718064,7.158715896560911,7.150301467557348,5.931984418692117,5.5326116035227635,6.367472772164264,6.7347959905173855,6.182205737284902,4.918774971173834,3.816387319396322,6.03232782356128,5.880350495105231
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.103457983535877,6.079602827937641,4.783365897662158,3.99422478234797,5.433778238439481,6.399892000510779,5.942717594077368,6.667897788911006,6.6079252762837255,5.0517479732545425,4.601134999164792,5.2709427550566925,5.743953607051908,4.8743709735392855,4.95794349825152,4.0726203320060534,6.0407787872668965,5.983083003527463
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2267771047700105,1.3714939131192492,2.0224326778921795,2.431198485009643,2.5819412335816203,3.734665185425949,4.5489982532562845,3.9067527934362563,4.363637428513301,4.883472548556233,4.859618409673765,4.651878654194304,5.425833205138832,3.090617449447009,3.1132065538088773,4.2800936658930855,4.8538175628335605
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2869087664141388,3.140576408764063,2.7858067340668216,2.463069174144912,4.217710460815938,4.823587638237664,4.38170667015477,5.128882853513486,5.612201813257521,5.783173565413993,5.5761834878604635,6.442198466300101,3.2986004965699154,3.437531194575526,4.245711323969819,4.803266588283978
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0215150232625028,1.4482769339970667,2.0613814375214847,2.472331887846998,3.3982051899430874,2.719123969530697,3.0094392895633804,3.640067318010189,3.527431660859307,3.3950301962941904,4.156179061406663,2.4579201900933327,2.779159313990025,3.6407397404383888,4.3287505333020375
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.123076430408349,2.9732550317638404,2.7328860113066913,3.7467939541610966,3.02491634290424,2.718098755475868,3.2849181879865776,3.007008791263799,2.955556780241423,3.442181290850734,2.8643691828401443,2.943965522825926,4.10630087066366,4.696928303631426
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0944162669361632,1.542698473656933,2.1571020615709364,2.160172551824834,2.5374812598748164,3.0645840918986647,3.5006514048073627,3.5834248901409738,4.272419177554387,1.5393517049482164,2.4494997149080646,2.3840776153453906,3.221370209686061
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.158594364777189,2.4702266222918503,2.4593175000756724,3.472887835483919,4.047667957730111,4.38249185526419,4.323202290984365,5.234982436418771,2.121818884897172,3.088406985866566,2.5969741981289665,3.4856700117723687
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093489856736556,1.0954866678493849,1.529538697441817,2.4058140146790787,2.4565167586409378,2.619125362667167,3.369074741940724,2.5569918533823097,3.5399211750926294,2.930761697312149,3.8044768533354336
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.775636903225808,2.1297632760921976,2.660941569517506,3.1886256781896254,3.47636917645251,4.056974624061155,2.7581538761436533,3.88079818317926,2.5896562109120786,3.4623466058258727
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1918311904030543,3.297874146606795,2.5525650835692177,2.3037237370757815,3.5580690810587825,3.4899006463608373,4.4487414007784265,3.894008451275715,4.814500488665624
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2234366111808905,1.3685379052230178,2.0756786645651975,2.0348631394496324,3.0459966276991093,3.668002327812309,3.554136643790173,4.186084421007363
24O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2764217457707274,3.1658373684247367,2.495562606412847,2.9376180460057424,3.3420564829365653,3.2989250059130755,3.6717791518306933
25N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0101567094246986,1.012376079188393,4.264351221100497,4.764974495313637,4.895984378599477,5.540289515417215
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7241433149243146,4.642137427792685,5.190714460253881,5.353964080518046,6.09375340956296
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.828678626873461,5.1313399245839,5.508701314455594,6.0329612304365545
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2102585953913718,1.3501807818323621,1.876706178938581
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2551230982903205,2.2946985460548577
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9759169171380345
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
