 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,H23,S24,H25,C26,O27,O28,H29
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0836733031204504,0.011630584015629997,0.027565321832589862,0.004862446124435982,0.0006173651152935333,0.014357494506287205,0.004594943691374143,0.0011195739677700711,0.0005635719621970292,0.0001563709479164288,5.103778547788096e-06,7.136172470723068e-06,0.0010977505502062224,0.00013952875671607856,0.005581364721571003,0.031531570696793354,0.0021988878980935267,0.00011316095092284151
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.085193012968178,4.68234748464824,0.0033588196879972276,0.0011581493262705633,0.018632101807082663,0.04358585912548718,0.0027935040359960694,0.00039361811800597835,0.0012809306686063782,0.0002995498225404347,0.00011307502063662156,0.02067419246343545,0.01872070812337312,0.00027526876321082305,0.000767994793858362,0.00011324359119926908,2.30811208955517e-05
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5584503242498524,0.015819262220527916,0.004222703589276795,0.17239590910733954,0.3913712253399566,0.015936291920641554,0.0029670728288186954,0.0055957008882311365,0.0011881538734894725,0.0003412237933643203,0.11683581037608298,0.19396276567541904,0.0007157235382338756,0.00013114594416452352,0.0003699363142668777,0.0001489551583010451
O14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001450375752085245,0.0003521231344742748,0.007020894157426391,0.009482321359017387,0.0009024820015281765,0.00013015648495351417,0.0005699492709522469,0.00016269956775383232,5.0682983764205325e-05,0.013211973859923884,0.010172509459020818,0.0002113766924626559,0.000519990676882548,9.03480640934845e-05,4.372119646101069e-05
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.897893545293979,3.694482487410289,0.1350416940364395,0.29013742460446557,0.022124820218101027,0.03289522522109131,0.004042631497316318,0.001224364304733383,0.0030430974513177694,0.0006722763825808276,0.043714813705437644,0.011472222161928836,0.007957583225591064,0.0011889164966901733
O16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5404602992826852,0.019026470754119007,0.07241070408229867,0.030530559400359314,0.008456022567335145,0.0010297862554412562,0.0008300523789449565,0.002692424560349828,0.0003492530025830387,0.022564071923539236,0.004547342508358712,0.0030665323265282735,0.0008109012171583219
N17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5602581389975096,2.8920648981195414,0.1013724876584935,0.1785739698828891,0.023616177083155332,0.012158244170969779,0.018806999530537286,0.003379004557853893,0.1957112895234488,0.025665830146104157,0.030060514238399602,0.005152721464191101
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0961051269686306,0.017548235720580507,0.011769401764609388,0.0006453447610392793,0.000767844007223184,0.012081912746234824,0.013116978945485913,0.004475781018954961,0.00032319256684709696,0.001149663847969884,0.00034614931253140746
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61193800231282,2.5843326219826963,0.08874184371480953,0.09273910147451137,0.18805326036221537,0.004357585619643611,2.6913853474365355,0.2654434920774943,0.21820289840814566,0.05486022500070564
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0884400449787548,0.005759688234382443,0.003994457720006395,0.04205177570455565,5.940900893586232e-05,0.1150602029429828,0.030363478315992065,0.0117483397922713,0.0005137978960665368
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0322798594918723,2.0298095050253946,2.4945297889240448,0.04972039954974927,0.17798979808393214,0.04307504437757431,0.029348532350244455,0.0021675870356915317
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02586831768902642,0.08612852701359663,0.022065936869602787,0.006254388571667935,0.0010578923111032035,0.012803919877910519,0.00031360928678214606
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09289249747756356,0.003741447627520156,0.0293494142728139,0.004596951292345386,0.004037345440322415,0.0004378343356377101
S24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8286912390727867,0.04566216787088205,0.011004254313963749,0.0056169296227973065,0.0006386860748524015
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004839489695600552,2.8719558075041007e-05,0.0004165467513252974,7.1609675980077725e-06
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.959092313284077,3.401851450864094,0.1673997372953674
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5118757444074264,0.0752885222209525
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7982246703202551
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
