,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23H,24S,25H,26C,27O,28O,29H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1870474672773,2.6207869075859884,3.203192621247043,2.909760743882216,3.775209471025683,2.6874417009384324,2.3490822705366603,3.4981370739265483,4.401767896359467,4.2757686114953914,5.156760749654608,4.782164281871287,3.9833211873866112,3.1487151368839825,3.360112623408233,2.6845599766776433,4.687250028718421,4.883362376657976
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2976686539335318,1.2369689873564202,3.783204520944685,4.964655875706956,3.371149997627485,2.442975754129939,4.47683448531355,5.386281200292197,4.741192343724244,5.788668706634331,4.83640961285384,4.160417453194341,2.838488285610628,4.939615035312819,4.61701533144319,6.232855565844061,6.623537098772583
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.257446379915982,3.449043820343145,4.666356601433439,2.681811045990139,1.6271171951788104,3.673048380071092,4.56239827374333,3.6783984963908773,4.749086066511255,3.6306317723015398,3.2338977427895794,1.8843365251834308,4.435925756219966,4.434563147584606,5.635106989637841,6.176073751394969
14O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.938848599970811,6.113399265769497,4.593201149751089,3.641296008586337,5.69657041985764,6.609922125891774,5.8468875924628,6.8855984739567635,5.881465350185108,5.061764475886822,3.7252379043703163,6.1313096283801745,5.741002115580923,7.409048746775743,7.758039260486788
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2374953397690533,1.3531125522089713,2.0573560010940484,2.437534128161098,2.643894669686212,3.7198856270295804,4.54724888045672,3.842915354219858,4.6575559987588,4.062538774025936,3.1361490339699487,3.2585200569825257,4.309730985220215,4.886214929766815
16O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2894690974366374,3.1972050187344006,2.8131273237680388,2.6079944326125464,4.27840086192953,4.889022879105158,4.480863353961164,5.456609737977085,5.082659810088769,3.2359716497543025,3.4054387739047742,4.176583853418145,4.69609773074374
17N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0576998256557522,1.4363684319272432,2.0726927613654578,2.4501136300533575,3.3809892276507956,2.639618036747227,3.3314139270765875,2.8308481011876894,2.4758200339139522,2.8620586776444217,3.6524114345233647,4.3362276316122115
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.171039129777678,2.991223306482789,2.6365347401556636,3.7003028554779793,2.7186020760795864,2.9656466299542643,2.083528829941386,3.103775245192894,3.3138177374740887,4.317493079919716,4.948486123731115
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099859332751051,1.54376442828812,2.1669783917752103,2.150767535961759,2.878131271931743,3.0263360732859845,1.5335222631304835,2.4656387496871166,2.3834227611582843,3.2082214560792566
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1513674284674082,2.4289953162017905,2.4801394654758724,3.8098188159890527,4.038217589478868,2.1107349193821534,3.1364954774011324,2.5295938717708246,3.426796661664686
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093118356753093,1.0941472668055507,1.8448981268170477,2.440061864142197,2.5374624883829617,3.4939220970522205,2.947362563874571,3.798233293694694
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7742342974408782,2.3799625343336346,3.346819644310525,2.781634183353622,3.8728971734672775,2.6470046026223555,3.506605877153623
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4391795292853353,2.708706590495466,3.4687189424378113,4.403914973919296,3.918170974131555,4.818009367270645
24S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37979526613958,3.2680396044731275,3.764231463064533,3.7993851293864105,4.3466090204920125
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61970495800522,3.864514287335941,4.534871477007676,5.077272381279692
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2068681321655845,1.3669460751658795,1.8718196102346103
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.249873409343834,2.2541195144492487
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9754764539565893
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
