 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,C32,H33,H34,H35,C36,H37,H38,H39,C40,O41,O42,H43
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10930288805572974,0.006752331998794103,0.0028911714370793984,0.027761393583462968,0.0006509519780537598,0.004523236511917217,0.0005230886718395888,6.283753839775308e-05,4.1863295816346735e-05,0.001534334490340017,6.669015611748819e-06,0.0001049321461792374,0.0009260153666970083,0.0007215255296471046,0.00010087136491465643,2.754952596939475e-06,1.4432320938118082e-05,2.75601644394996e-07,2.992550873326394e-06,5.001886078659368e-07,9.287311655281627e-07,1.989343172414948e-07,5.697789329239811e-08,2.6385328810718534e-08,1.608146860121451e-07,2.589494640936607e-08,1.5527756191957565e-08,3.87750398456177e-08,5.267379176387976e-06,5.510941087916166e-06,4.98677234284095e-07,2.915725410002068e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8425886927966921,1.7690984468950552,2.5490628253817404,0.0904223552962905,0.27524163098349763,0.04605335671645275,0.01568805099661219,0.00211544114594886,0.0490222554102987,0.0012807929081503078,0.0043760384257137686,0.0021664269951852944,0.005197531344163411,0.0004656106736442983,2.5890016142948724e-05,6.109191671208047e-05,2.122975034857255e-05,7.244862394423235e-06,1.731585577036121e-06,1.7774218417365706e-06,1.7006643115990983e-07,2.6193720770173456e-07,7.48278845552619e-08,1.3011046030853013e-06,3.1353749341267445e-07,5.140213277243788e-08,2.9225926811982106e-07,0.00010777555083041346,0.00021852313301806703,2.44788428528514e-05,8.37919202756332e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02363371656540436,0.09240587729429506,0.020710513614998094,0.021607267479447634,0.025103244348202658,0.008147041182700265,0.0003391163238872785,0.0028397865822439305,0.000133487375237884,8.167594407204604e-05,0.0004402869462301062,0.0008891918960475254,0.00013605722981313573,5.168386957743465e-06,1.1265996190168437e-05,7.280954131605455e-06,1.5578156331574888e-06,4.64221273199783e-07,2.9860081174337694e-07,2.5861962349438272e-08,2.5518774648958242e-08,3.32478957698612e-08,1.7381821493245297e-07,6.270706154332117e-08,1.1960022527901515e-08,3.026992190235944e-08,9.197762701695922e-06,2.1537426495688017e-05,1.7197427947257538e-06,1.7782897501206207e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09620365193420388,0.0028872124697727486,0.027572979796522734,0.0068037028481957584,0.0018200599089077674,9.102525931825589e-05,0.007930055594956631,0.00038720442736028815,0.0007472912922650288,0.0002374663215563011,0.00019429380124380558,4.763372138005817e-05,1.671013180715164e-06,7.0567124981213425e-06,1.3163510137470524e-06,8.878274944112974e-07,1.1308658076636391e-07,3.0316353971659993e-07,2.7097906141193562e-08,7.201850449334302e-08,1.2508817315293186e-08,2.341349802925663e-07,8.656215300106851e-09,1.4805249026750289e-08,4.95201948336188e-08,2.3116345180707043e-05,3.17889580223607e-05,4.433954135962814e-06,4.9936229602476345e-06
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.644400802871517,3.7278117145305036,0.38021512063575064,0.009476596612222332,0.02868725524649951,0.4059617208621259,0.011977281158054631,0.02943300076681976,0.019537363006055408,0.07181265737836356,0.005746267567279237,0.00016185930594492248,0.0004181225594710736,0.00019016296504414942,6.50320720494979e-05,1.5341108927757752e-05,1.450015105157465e-05,3.1636759934006164e-07,1.313446270967411e-06,1.0670769114984324e-06,9.342062016623465e-06,1.5926564770341045e-06,3.9839173016087415e-07,2.645963983471944e-06,0.0008316370331211964,0.002327644505439777,0.00017158812801405798,8.079065515431694e-05
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15233340741413903,0.02588824969692094,0.0008476481611618958,0.0017914561948386698,0.011997534145841926,0.004723266614881316,0.0010059150132508687,0.041598558942491204,0.2185274199133277,0.00978168456621431,8.244658766676238e-05,0.0005622154918281108,0.00017277973241780487,0.00015472035466845835,1.3504688640697537e-05,2.6452367938079036e-05,4.916783882258358e-07,1.3475563072073982e-06,5.782386034436371e-07,1.0111354000419404e-05,3.775797716265572e-06,3.929047862616386e-07,3.003032887471946e-06,0.0018350017518818929,0.004788268803908702,0.00031633293739707913,5.184725369034027e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6441146673415328,0.14538590444478883,0.14646999057321786,3.6872316383554895,0.14564736659976651,0.15150782386655537,0.0028270363384658714,0.008380942027981647,0.0007664699658660734,2.4917496248777482e-05,0.00042494538575577057,8.165741466092946e-05,4.003052812129315e-05,9.83135971432958e-06,7.080415971916221e-06,4.552844183880467e-07,1.25040130893872e-06,6.163980388329549e-07,4.8005352540625434e-06,8.009317316037823e-07,8.770645714140102e-07,4.268598381429456e-07,0.0018696789046889206,0.0080445930436404,0.000297375700339636,0.00020032250632706639
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.869292120951694,1.8958886341078331,0.37395228418361404,0.028048340533674998,0.012585815492796693,0.0008990875177810886,0.0021968834284824545,0.00026318814013832903,1.0154465990397377e-05,0.0001464948993652182,3.502381305875435e-05,1.5262455549946985e-05,3.959252687923964e-06,2.608585582250522e-06,1.364301013273561e-07,4.7205280750972634e-07,2.8795438344886293e-07,1.3488739281780626e-06,5.5730774106699243e-08,3.8935388246841285e-07,1.3057045422648628e-07,0.0007034308952457435,0.002584721602183336,0.00011003359464105411,4.811533785087363e-05
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03714358189924627,0.03174016949910352,0.001726246693671829,0.000947620933177129,1.4591302146760299e-05,3.999382155372988e-05,5.7688956599522e-06,7.046143379874081e-07,1.8737779877375793e-05,4.208922781412383e-06,1.982200596217787e-06,5.616867031488226e-07,2.3364076473519901e-07,9.717368243400415e-09,5.0921862282393704e-08,2.4328222325564752e-08,1.6489841037081732e-07,5.657232904354714e-09,5.720125995090086e-08,8.442399002106526e-09,8.379249400325417e-05,0.0002649547742137326,1.4510451428528803e-05,6.173228178196766e-06
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012560068843199046,0.0007517171142081835,0.006577650223390519,0.00015455328262992118,0.00035470986636798596,4.9898402374681794e-05,2.0804296856358206e-06,1.1740569655471766e-05,3.591962038473895e-06,1.3569927845846763e-06,2.9227469622306046e-07,2.3589061104445364e-07,8.722378375125572e-09,2.496913587002325e-08,2.14741060489132e-08,1.3293853773355124e-07,1.8969413595470996e-08,2.2660101128835208e-08,1.2585223529981704e-08,3.5280187183794887e-05,0.00013147367225285755,8.600771354450032e-06,1.8677343915918243e-07
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7574932313549545,1.9180786197683801,0.0002906642948979632,0.0008259433294714319,0.0002743454836970499,3.515558200373192e-05,0.003061059451709869,0.0004670227059998533,0.00030533753881581416,4.785611240754051e-05,4.533007171456105e-05,4.233760386496144e-06,9.114654845765457e-06,4.529597396940588e-06,2.3843636246689837e-05,1.4912214090223586e-06,7.029037850658781e-06,5.992282421374284e-07,0.015196587777802195,0.07927878531259949,0.0021147432327842525,0.0011610981555890687
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04072332576961046,0.00024284511768180028,0.0012179687334655798,0.0005190622701292114,9.372405975494047e-05,0.008512107965609417,0.00040279949978772045,0.0004576961441472571,3.176495736600948e-05,6.646184635705765e-05,7.635130154337588e-06,8.545616978272719e-06,3.2509691525461903e-06,3.8070219654517956e-05,6.12124646304224e-07,1.2284157703712495e-05,4.6378600804253267e-07,0.03194617023681434,0.24935281022892075,0.0021313730808308895,0.002596896865353804
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.051757976608066e-06,1.0682504280823402e-05,1.1647987941398874e-05,7.723334130016468e-07,4.685273395610423e-05,2.282068427739148e-05,1.5858064394635996e-05,2.3852178785421785e-06,2.4230929100976795e-06,6.117595785504193e-08,8.242072377928622e-07,2.8995885936744514e-07,1.9522186942566577e-06,1.7158225884550404e-07,1.795115303071526e-07,6.183814771354434e-08,0.0006055113323525374,0.0015026352032175838,0.00012558020052011454,4.630992898491115e-06
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.759673484101772,3.520689860740405,0.13997215387167805,0.25887462347558654,0.02741586092381798,0.029536738820428565,0.0010326607678270427,0.005840548653055444,0.0010403296134995355,0.00032222547431071114,0.00021829451593324833,0.0037817134665899255,0.0004975235054607285,0.0001109604694884414,0.0013263134301053636,0.050579248218535905,0.013352014292417114,0.005163854283133373,0.00034332496978850546
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5282431544925873,0.026500611598134438,0.053943830115040975,0.010311301268140505,0.007474359727553975,0.0006674656498726339,0.0013571149340451671,0.00013289647814995753,0.0007295292252473828,7.8739927176108e-05,0.0025641762116567768,0.0007045107352682267,3.692116112929966e-05,0.0008783968788630414,0.12721898110372115,0.03146910614157272,0.012008073718763973,0.0005122537819262085
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9143654002818122,2.59857826121328,0.0968300988827997,0.16811333704130738,0.010389946386671567,0.029272930334546934,0.004069712707741813,0.0006507906969319688,0.0009580106526672072,0.028103734717969397,0.003030277165675499,0.000796214083109037,0.009854454963579284,0.1835376337605855,0.026584333944062996,0.02725901745445064,0.0049069811083991555
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09685314104591969,0.00408730033937621,0.014937126026779657,0.0011386216630782098,0.0015608786965884969,0.00010846595551128324,3.687418683084864e-05,0.00031911970183395866,0.03350044566415111,0.0024634228660171953,0.0003025896858104282,0.029165502322279213,0.020141957660679055,0.0013096178302935968,0.0033558740410903898,0.001475937636509217
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9233885681487877,2.3203699757350638,0.08763025738525632,0.17149418359278631,0.03060772139946555,0.006268313504760981,0.009878911605504692,0.1674049404762435,0.02976243654548516,0.009925382316111175,0.005450443444638076,2.718929125266698,0.25256438260123537,0.23167757322488947,0.053817346701253155
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07989101639898322,0.035078726374237146,0.006648799034724484,0.00022935803145918143,5.434001885995521e-05,0.003872885455891373,0.010791155050967283,0.0005739491461651536,0.00488836559888739,0.00014303475869503757,0.10885908817464007,0.01981312291795656,0.019351848735372434,0.0018158971863841966
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9565504303369872,2.5504566282863093,0.09532938240738731,0.08515157383320737,0.08233654186873207,2.845745382478519,0.0923399667171878,0.08156261856376767,0.08115106346769219,0.1906407170770611,0.03680513929265054,0.027591617849947278,0.002832240361608118
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07942768736417294,0.0037611980196579076,0.005141096287585301,0.033842667455304065,0.07725159581088314,0.0037748941012658577,0.034094850781637875,0.004613006934235608,0.00922866632090047,0.006726879427257582,0.0014797798137496931,4.057692333159224e-05
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.680094913369051,2.069166122640193,2.073028891623569,0.17535070749422188,0.012307871680393934,0.008471611873207996,0.03139635552755338,0.03496874591963331,0.007164235712845822,0.013150682060558291,0.0008122085879594954
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025879955822959655,0.02456383112466276,0.012693953312798212,0.005605098230443195,0.00017458209701093352,0.0009143618148730326,0.0025469651295482176,0.0003727388509014995,0.0014664856677240046,0.00012956728468660472
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023981014223921848,0.0316606788441377,0.000800826504663954,0.0005260666935089642,0.0032585602176893325,0.019614068903678783,0.002312419294743573,0.00524920418025665,0.00046483979474776227
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00798240327965094,0.0001401020913467388,0.0035941263529479794,0.0003850757703312002,0.0014511005193134086,0.0004860822343999427,0.0017703057323219529,5.3568020317529275e-05
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7017647306487673,1.9924285353377895,1.7305367795111606,0.031494890517534985,0.0068423122755122134,0.003924210420449534,0.0011214905681997678
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024714172406312462,0.02553666890765549,0.004636911639793295,0.001135908000685415,0.0008406399176800194,0.00010167365909530268
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02383226741249933,0.0009680671450496003,0.0004726152669738415,0.0001237526825504931,3.1029287386186155e-05
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004911859479541647,6.972501528590413e-05,6.121898760991229e-05,1.5960818469773486e-05
C40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5548576090138075,3.653176053481272,0.16696712632502997
O41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5008336323070105,0.05648466656214801
O42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8010674927446988
H43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
