,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32C,33H,34H,35H,36C,37H,38H,39H,40C,41O,42O,43H
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0094275798843249,1.0096672394841057,2.324809736613724,3.2267883488271503,2.53879247830049,5.709392521031167,5.068716292403629,6.477960864919968,7.146457485409239,6.861467326077976,7.565925540009168,7.79016414074273,7.316051128728703,8.43924291317969,9.230687250005,7.8313153125857795,9.004556994243929,9.022677239527273,9.7381862567746,9.600171970069344,8.909401655433525,5.8084506078244615,4.8607617334482205,6.395298775029048,5.988600195186057
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.724279720059646,3.224142968736799,4.086980330928521,3.4950064852236276,6.012639868985691,5.405300970130235,6.9186257465187735,7.54323722487897,7.458685807783158,8.128426072084146,8.457328414669945,7.997755533898816,9.21123306740353,10.02019422801379,8.668036880099772,9.75369122597119,9.603470172311766,10.357951348136936,10.163431563464032,9.398079935652499,6.5166717220550625,5.639619820812788,7.11850818530855,6.772488210758563
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5555288506729554,3.511434891987528,2.3744975822050653,6.514781060835681,5.852733883313198,7.172257863302464,7.851203262709162,7.41440573082257,8.141507469677384,8.240775923220195,7.7246834129671065,8.751523496945191,9.497315146555541,8.045695468850596,9.347496503907772,9.550975547774588,10.203728908846829,10.1559807828093,9.51452878689806,6.247535890386121,5.227123081303603,6.765777303938338,6.244090506614275
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.026306187760015,1.009846802344955,4.617948526235354,3.8446550473841317,5.095750471105985,5.91316131616198,5.060242948509431,5.717379799318621,5.965873933376632,5.633161779349974,6.375775719989564,7.21619517258054,5.6826709220147285,6.874413828633553,7.344882178777621,8.050407041554372,7.843991804518416,7.458975725338044,3.7684047547762547,2.84797566772358,4.211103623630461,3.7188228180900174
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.749234072665799,4.003173141158934,3.31939870711953,4.281394092824232,5.112692571981007,4.103573930287442,4.793094723326271,4.9621831799143505,4.667170424065886,5.351450006297544,6.201900808837755,4.680646586784846,5.861132927347471,6.367936536347968,7.0631914924498185,6.864172542708577,6.543304704945682,2.780350629489892,1.8310917885034461,3.3213313071359387,2.9196842885263097
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.593683244970165,4.780071165238116,6.007140518000596,6.831298822751852,5.827914058759174,6.4549862842184895,6.641349958084951,6.299640057831078,6.8672168519478785,7.667418258268802,6.058055405022016,7.35842410990806,8.083504756380295,8.732369954088528,8.5779583970547,8.279249884192264,4.432790484810746,3.512005427587487,4.697279978482806,4.0327959196982945
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2431387224112438,1.3538628671776134,2.0414861571480523,2.4831244939060535,2.896332640652061,3.7665362664100366,3.8786635230804403,5.00565501260446,5.887284975319867,5.170229093320136,5.268459660599924,4.3283278473921385,5.336153168815956,4.610117815076178,3.9841242903487615,2.907395965578083,3.207378177376771,3.7933910147426833,4.403383912836035
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.265700615233696,3.1589086775120747,2.822764132477852,3.0902996417187123,4.294691464722674,4.465591705076043,5.261239669543229,6.252319141651749,5.2186053396958965,5.432898284156492,5.116807829433223,6.1311832009656255,5.304472919302123,4.973670701385762,2.649989671629648,2.925830014761046,3.244941359214171,3.6837758764396664
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0109619847057651,1.4625547738230325,2.102661466970574,2.483293998795139,2.666047824514814,3.841732311864438,4.642315292189447,4.171138231715233,4.179672550503548,2.996189794684175,3.988524484998296,3.386459295487125,2.732628675587503,2.4517159542561657,2.9360323554926446,3.4811496883408504,4.235208244550191
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1227119872068667,2.704740596972958,2.5790229595748193,2.6569809266050455,4.087230833614984,4.701766786528938,4.591523661119124,4.486977272730233,2.619728973084361,3.5381433439970857,3.1337044049777933,2.027689914656683,3.31941830571615,3.721489436448141,4.375682729116563,5.154835507966805
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0971784561029045,1.5567407378273639,2.1451821033610794,2.5553483850056957,3.5027131979146335,2.8524511729956927,2.8052322569271055,2.554873565608777,3.502886158727543,2.8155084215049864,2.8636986423728406,1.5278471751299008,2.4419451674021952,2.3638898700167332,3.216266507467094
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.178292229258356,3.0545444521290586,2.8186431861612564,3.798094839420786,3.2433847549413732,2.6255461092487233,2.778656458081752,3.776688021955166,2.5913523197391592,3.183314957948851,2.126491049849977,3.2663415001820817,2.3560472066088747,3.3251684281185923
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986304619455713,1.5378958199725417,2.167929530158574,2.200829530567166,2.1898408502747366,1.5389622933969433,2.1688681272202857,2.1876782085050586,2.221388627477712,2.530166181299564,3.137235656488794,3.3238786941529432,4.0736226809080955
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1558816814239856,2.5181763177152736,2.4861811255390425,3.0786567832743708,2.1649425517500345,2.5155197241721985,3.084089365980518,2.5299757724713308,2.760653062804396,2.9205712405349096,3.813693702137006,4.400576121477011
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094515843367001,1.0948840895925713,1.09652702552319,2.5191326808981196,2.718378208031659,2.801031970736343,3.502517821474345,2.9411406916961265,3.590170519998373,3.2277060283268284,3.831838188010694
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7638683457960547,1.770318559194365,2.7061219963739043,2.444650235520552,3.081000693235943,3.7157958392262604,3.960226491647306,4.456682035580345,4.2972722236813725,4.835044267938289
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7739237112773076,3.4889342131144954,3.7105701432669638,3.833533524713901,4.374099631985798,2.6338735095717625,3.0689972176758866,2.818344687912989,3.1740419775339275
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8196799332449514,3.125281865061242,2.6579654433251907,3.8533291226139923,3.265115600852304,4.164550798268814,3.1634983985162406,3.8492661618034774
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0947768973074539,1.096848412659852,1.0973518193316754,3.8986273117414827,4.576422377721084,4.59524116318403,5.444928934200431
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7697454726553223,1.7552858473881976,4.691833342721437,5.253050663452959,5.373111316097941,6.156404404574658
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7737578560978835,4.203226104478738,5.094820417683492,4.625435926646883,5.542972403122946
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.290375869138538,4.8553052138414285,5.1531915704009945,6.009677855075047
40C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.220638515580121,1.337186915331749,1.890533957339791
41O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.256986825372441,2.3294220338514826
42O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9762044876408558
43H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
