,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28C,29H,30H,31H,32C,33H,34H,35H,36C,37O,38O,39H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07950812436348,2.2108823898939924,3.2448857822775907,1.3815534029972465,2.137545027958052,4.034810062283539,5.221257359254823,3.4084403296053343,2.4481313254096664,4.4099669643093735,5.172813651970571,5.371864277484431,6.175638663993769,5.944838052960155,5.127135890490342,4.498224856016992,4.903212178872936,5.203370240866189,3.9878489806086432,5.746972412088902,6.551286189388271,6.965748181496756,6.740383870586861,7.288023516979516,4.2099251618130875,3.366053903537056,5.49820530465941,5.619523331723514
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.239225689934418,4.225838535800603,2.160378557084498,2.5539639032083925,4.228077653807343,5.312825786153658,3.4871050519059543,2.622789360194826,4.227204148351446,4.926144726098519,5.347809260345454,6.009734505073632,6.030330866284262,5.2899691299837155,4.860036823654926,4.912959919548271,5.351181474110539,3.89019383501241,5.596448285537026,6.790244440701144,7.278571914655627,7.077051494623606,7.396774786137721,3.6969861425391253,2.6680548154534978,4.904348994837631,4.888820236369438
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823886658352888,1.366416510998744,2.131173296320298,5.018888855274296,6.238050053648323,4.526385145141569,3.6119829934768233,5.651201215428022,6.524365181411213,6.1532810559368425,7.081990975538708,6.574211772335087,5.436747375194761,4.549059729110832,5.322706730164021,5.213007931838715,4.696577203729833,6.350426169080767,6.547513348542718,6.888695014390693,6.418830923559207,7.464198525773843,5.79648353891916,5.175998448644934,7.060447160739815,7.294892252411802
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.150112493841635,2.553979945287157,5.920404101609444,7.118633657761925,5.4134854355694735,4.529463477109117,6.4819035473742,7.400168769187472,6.796090531074083,7.714796654669999,7.197768909116364,5.883679248824212,4.981865117947114,5.71978887878986,5.4052899211293965,5.216085406901634,6.761040925525857,6.818310014440646,7.170396263826339,6.517671423059635,7.760247558419587,6.653930449528167,6.071523301058642,7.86707206792091,8.098078578123324
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0098170471436736,5.020638197904208,6.238983592893469,4.284422668580093,3.276256269749025,5.2123733414955655,6.116475495482063,5.870388750603975,6.673923339665742,6.4818949900288825,5.2580239111027955,4.574433465342855,4.849187547580077,4.851162806658681,4.018007082915643,5.763143708974459,6.538463017891709,7.038301365704458,6.500205833548425,7.320586604228287,5.015074883208359,4.206076661741606,6.229195233865941,6.3173869337754605
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.835607143224921,7.031924936152511,4.951986597532712,3.9445213924809774,5.682854489471237,6.640042742694494,6.257435671078101,6.9530775896273616,6.981379112670891,5.538413735581975,4.98788739440902,4.85463963950532,4.740967132912898,3.9968132097624878,5.680742914016604,6.780468723988072,7.407071272837453,6.660609507268874,7.480619740614432,5.271766647368417,4.389037000978907,6.365940691003451,6.329905515973046
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2291295958075052,1.3682957134428444,2.0607655321236167,2.4565631740717033,2.4921757447687565,3.4208769757628863,4.334800755875924,3.2747258851893077,4.121229771558219,3.617294958324845,5.022896799800214,5.770560026915153,4.683690775005318,5.701268332384185,5.2741366433677745,5.11765997344511,5.9695688770809365,5.956458367309979,3.5745397403036563,3.8934059977689865,4.672564871300566,5.3836331777774875
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2730890176384158,3.163490625734404,2.782176243936073,2.3289976249554,3.6059047056026814,4.358769747721813,3.193120999730439,4.62403155137541,4.3045082653505,5.682753909740876,6.514400253322143,5.475814733744362,6.213461434941523,5.587719102429841,5.273725168153069,6.417685697590988,6.145238027254888,4.024889440356101,4.584071541353141,4.868442242154934,5.663844725974581
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0134742907850578,1.4497991625275484,2.0494860070572534,2.511577421704011,3.4284489923543373,2.7849409731586046,3.0690281836475317,2.6889970213731336,3.7432386156842954,4.5373203247287845,3.331886680183521,4.418972178794388,4.427728515805918,4.53533612395257,5.095318839301013,5.061511097033995,2.4308625288755947,2.7573941455737465,3.6263706099965147,4.302392608222584
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1249573198496132,2.920501927940192,3.080703454425996,3.983577941147319,3.539513040648977,3.2133744197815868,2.6882261838424677,3.5576096542416242,4.211655401055215,2.941353309781059,4.357997091977567,4.6633399524142645,4.9231834092458735,5.151744917491468,5.3617869173764126,2.5900546122749173,2.4933075340192996,3.908012180810568,4.4140233987110395
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0970527984894267,1.553610811458537,2.16656692620261,2.1287471851299036,2.6410677104758675,2.8222927014026062,3.2420859356623977,4.247013312005691,2.9956402463188274,3.5885321012873246,3.948473242125188,4.1764172792831245,4.797022420521098,4.29208517492583,1.52293762041583,2.4457759258774456,2.3775861180568243,3.210379672205752
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1393226677358492,2.489654416689625,2.3186663754521843,3.521497577621157,3.7372603298013964,4.245327211374204,5.274273158495523,4.055114745084828,4.452546060106937,4.629626523438069,4.6815849617682375,5.580823863339671,4.865163786348013,2.11337379141327,3.0895823094188164,2.6122272633578096,3.485217183370201
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0975181908180844,1.0968002533509067,1.5418105944047824,2.145799561064342,2.5788852282491517,3.5219623501374104,2.896171396618549,2.829346128681953,2.5124264861093586,2.751969359630335,3.4793226043400733,2.78230433753934,2.5805282470866677,3.5810786713830036,2.935059501208492,3.8299138443821703
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7617830178469363,2.1776682571913493,3.062582902329772,2.8245748758704274,3.8097443933406168,3.2457741849193598,2.6317374690892703,2.792696711781973,3.1473785870709095,3.8015330783458583,2.613492916266283,2.7423707626498266,3.8682677906639293,2.5527403718632526,3.4410729725328038
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15520012289181,2.486909243704627,3.5025783179012846,4.317177099539415,3.89364472231458,3.8010290117994234,2.654529610336241,2.4319608539676003,3.673987922311033,3.006596700744402,3.4604649399990874,4.465064275273981,3.819258125769279,4.764637415915065
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0994046180434895,1.5382728565844674,2.1789620064183484,2.2025867393495924,2.1884224234363905,1.5377877474314352,2.190370572386422,2.186266716596864,2.1871159099253297,3.3305387104043453,3.9945927588797474,3.827713500613847,4.532396073501314
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.149699470286666,2.5153333592007385,2.4879257160107775,3.0743306730814686,2.144657724463621,2.4871098343827103,2.501680997071934,3.0705690238074324,3.6670648479258805,4.122302746869699,4.468259689285551,5.152538553546509
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0969321297144397,1.0956238785314147,1.0981819825957082,2.5259822958995644,3.4900764342573645,2.751689085623568,2.812449360032914,3.208937721276695,3.5795608694636356,3.5866759153119925,3.99693423477691
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.764561623858887,1.7705488881356692,2.7207606160004008,3.7294506811498023,2.488132091852121,3.094486959875586,4.23463731248367,4.440630629647,4.6448384288594955,4.970678250879403
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.774492513358779,3.4944604008618776,4.353013682188799,3.7419618707629545,3.845684621598911,2.6257408650589724,2.680332417859054,3.25001685071691,3.513925865593496
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8324728597550313,3.8463909766137947,3.1642975215125504,2.6765121358187534,3.329417621087142,3.8408573463968225,3.2721784018453475,3.6031869680174275
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0965799172983477,1.0966323212405438,1.0982846542173221,4.728405971164731,5.48615263534496,4.972438667437244,5.698854897884942
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7726151714262817,1.772266614228999,5.230928810044209,6.059744907873517,5.529167565020429,6.351387891587198
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7715261491386036,5.461797887343892,6.060019528074582,5.776929838989609,6.41106960871153
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9001961389756925,5.762132100109709,4.84002406466793,5.532592592773795
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2146870073620335,1.3517721137640413,1.8760473049900992
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.248882070847565,2.275921601555462
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9763495488328725
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
